4039 2
0 -0.029870568430957072 -0.029870568430956927
1 -0.0003484338914736301 -0.0003484338914736293
2 -0.0003270898918551577 -0.0003270898918552226
3 -0.0003532394872472847 -0.000353239487247353
5 -0.0003204375874589994 -0.00032043758745898025
6 -0.0003090106203580844 -0.0003090106203581023
7 -0.0003424278616526483 -0.00034242786165261804
8 -0.00031820096260361507 -0.0003182009626036305
9 -0.0004494450197724756 -0.00044944501977245215
11 -0.00029937659584826983 -0.0002993765958482805
12 -0.00029937659584826983 -0.0002993765958482805
13 -0.0004105972024398003 -0.00041059720243974754
14 -0.0003310172277744771 -0.0003310172277745425
15 -0.00029937659584826983 -0.0002993765958482805
16 -0.0003232409387982416 -0.00032324093879826724
17 -0.0003272981286397284 -0.00032729812863965504
18 -0.00029937659584826983 -0.0002993765958482805
19 -0.00033314598826763474 -0.0003331459882676317
20 -0.00033028076093871966 -0.00033028076093871684
21 -0.0006449321006926641 -0.0006449321006926215
23 -0.00032228821583048847 -0.00032228821583060984
24 -0.0003317882560390511 -0.00033178825603904626
25 -0.0005188902896118351 -0.0005188902896118503
26 -0.000515848890164395 -0.0005158488901644102
27 -0.00031945852641692167 -0.00031945852641694666
28 -0.0003309838427950809 -0.0003309838427950707
29 -0.00032044482767028536 -0.0003204448276702731
30 -0.000358645313327255 -0.0003586453133273061
31 -0.0003514311188310301 -0.00035143111883109566
33 -0.00030240746273526686 -0.00030240746273526474
35 -0.00030253745968995897 -0.00030253745969002473
36 -0.0003234374922273609 -0.00032343749222731185
37 -0.00029937659584819664 -0.0002993765958482805
38 -0.00032308370777947934 -0.00032308370777943814
39 -0.0003489072326517381 -0.00034890723265180876
40 -0.0004084915036217666 -0.00040849150362175625
41 -0.0003564379510401745 -0.00035643795104017324
42 -0.00030240746273523027 -0.00030240746273526474
43 -0.00029937659584834307 -0.0002993765958482805
44 -0.00031342508207867566 -0.00031342508207869664
45 -0.00032921419794370725 -0.0003292141979436909
47 -0.00029937659584841625 -0.0002993765958482805
48 -0.00036225606596971893 -0.00036225606596970434
50 -0.00033322457991476857 -0.0003332245799147681
51 -0.00031484653327350947 -0.0003148465332734732
52 -0.00030247461758782014 -0.0003024746175877606
53 -0.0003650449565188682 -0.0003650449565188866
54 -0.0003253809103441457 -0.0003253809103441305
56 -0.0006661770067689509 -0.0006661770067689361
57 -0.0003423547672186214 -0.0003423547672186299
58 -0.029868941774694034 -0.029868941774694194
59 -0.00035496600997152736 -0.0003549660099715222
61 -0.00030573378283243276 -0.00030573378283244463
62 -0.0003786215086467586 -0.0003786215086466994
63 -0.000308786705968317 -0.0003087867059682849
64 -0.0006327994384518161 -0.0006327994384518113
65 -0.0003344832270955844 -0.00033448322709552305
66 -0.0003493626657517176 -0.0003493626657517748
67 -0.0006765249045108508 -0.0006765249045109043
69 -0.000335438416420124 -0.0003354384164201193
70 -0.00030253921378662973 -0.00030253921378672026
71 -0.0003026423441941066 -0.0003026423441941698
72 -0.00037035927075976103 -0.00037035927075978906
73 -0.0003257716167551427 -0.00032577161675514786
74 -0.00029937659584823324 -0.0002993765958482805
75 -0.0003375227524135397 -0.0003375227524135533
76 -0.0003076769885027368 -0.00030767698850277806
77 -0.0003107294409226752 -0.0003107294409226843
80 -0.0003494439427470135 -0.00034944394274699734
82 -0.00040097312610450845 -0.00040097312610451664
85 -0.00033585608385571105 -0.00033585608385571885
86 -0.00030257096566331515 -0.0003025709656633281
88 -0.0003622677485526958 -0.0003622677485527614
89 -0.00031841677269378317 -0.000318416772693798
90 -0.00030243784558329194 -0.0003024378455831862
91 -0.00031807864970223067 -0.00031807864970221066
92 -0.0003419738622520011 -0.0003419738622520815
93 -0.00031272568275406246 -0.0003127256827540232
94 -0.00034956392587735623 -0.00034956392587741396
95 -0.0003120753796369242 -0.0003120753796370736
99 -0.00032205574586083936 -0.00032205574586081166
100 -0.00031995775005291523 -0.00031995775005300197
101 -0.0003418605092468463 -0.0003418605092468678
102 -0.00030294271801133127 -0.0003029427180112513
103 -0.0004690394188907477 -0.00046903941889064855
104 -0.0004042117709244348 -0.0004042117709243446
106 -0.0003244533208677162 -0.00032445332086769655
107 -2.8509866647836124 -2.8509866647836066
109 -0.0004205441843873208 -0.0004205441843872557
